Ship Mode;Segment;Country;City;State;Postal Code;Region;Category;Sub-Category;Sales;Quantity;Discount;Profit
Second Class;Consumer;United States;Seattle;Washington;98115;West;Furniture;Bookcases;704.9;5;0;56.392
Second Class;Consumer;United States;Seattle;Washington;98115;West;Furniture;Chairs;561.568;2;0.2;280.784
Second Class;Home Office;United States;Milwaukee;Wisconsin;53209;Central;Office Supplies;Paper;179.82;9;0;845.154
Second Class;Home Office;United States;Milwaukee;Wisconsin;53209;Central;Furniture;Furnishings;185.58;6;0;760.878
Second Class;Home Office;United States;Milwaukee;Wisconsin;53209;Central;Furniture;Tables;214.11;3;0;363.987
Second Class;Home Office;United States;Milwaukee;Wisconsin;53209;Central;Technology;Accessories;999.96;4;0;2.299.908
Second Class;Home Office;United States;Milwaukee;Wisconsin;53209;Central;Furniture;Tables;653.55;3;0;1.111.035
Standard Class;Home Office;United States;Franklin;Massachusetts;2038;East;Office Supplies;Binders;114.6;5;0;51.57
Standard Class;Home Office;United States;Franklin;Massachusetts;2038;East;Furniture;Chairs;60.74;1;0;15.185
Standard Class;Home Office;United States;Franklin;Massachusetts;2038;East;Furniture;Furnishings;124.36;2;0;273.592
Standard Class;Home Office;United States;Franklin;Massachusetts;2038;East;Office Supplies;Storage;1088.76;6;0;3.157.404
First Class;Consumer;United States;Encinitas;California;92024;West;Office Supplies;Binders;6.72;5;0.2;2.352
First Class;Consumer;United States;Encinitas;California;92024;West;Furniture;Tables;298.776;3;0.2;74.694
Standard Class;Consumer;United States;Anaheim;California;92804;West;Technology;Phones;302.376;3;0.2;226.782
First Class;Consumer;United States;Arlington;Texas;76017;Central;Office Supplies;Art;8.928;2;0.2;0.558
First Class;Consumer;United States;Arlington;Texas;76017;Central;Office Supplies;Storage;47.584;2;0.2;-2.974
Standard Class;Home Office;United States;Houston;Texas;77041;Central;Office Supplies;Paper;33.792;8;0.2;10.56
Standard Class;Home Office;United States;Houston;Texas;77041;Central;Furniture;Bookcases;3.005.328;2;0.32;-972.312
Standard Class;Home Office;United States;Houston;Texas;77041;Central;Office Supplies;Binders;2.724;2;0.8;-43.584
Standard Class;Home Office;United States;Houston;Texas;77041;Central;Office Supplies;Envelopes;3.264;2;0.2;11.016
First Class;Consumer;United States;Lancaster;Ohio;43130;East;Office Supplies;Paper;108.336;6;0.2;379.176
First Class;Consumer;United States;Lancaster;Ohio;43130;East;Office Supplies;Storage;55.92;5;0.2;6.291
First Class;Consumer;United States;Lancaster;Ohio;43130;East;Office Supplies;Paper;78.304;2;0.2;29.364
Standard Class;Consumer;United States;Portland;Oregon;97206;West;Office Supplies;Storage;443.92;5;0.2;-94.333
Standard Class;Consumer;United States;Portland;Oregon;97206;West;Technology;Phones;155.976;3;0.2;545.916
Second Class;Corporate;United States;Hoover;Alabama;35244;South;Office Supplies;Art;15.47;7;0;41.769
Second Class;Corporate;United States;Hoover;Alabama;35244;South;Office Supplies;Binders;7.16;2;0;34.368
Standard Class;Consumer;United States;Los Angeles;California;90036;West;Office Supplies;Appliances;10.89;1;0;28.314
Standard Class;Consumer;United States;Los Angeles;California;90036;West;Office Supplies;Paper;19.44;3;0;93.312
Standard Class;Consumer;United States;Los Angeles;California;90036;West;Office Supplies;Binders;121.6;5;0.2;39.52
First Class;Consumer;United States;Tallahassee;Florida;32303;South;Technology;Machines;695.7;2;0.5;-27.828
Second Class;Corporate;United States;New York City;New York;10009;East;Office Supplies;Storage;120.33;1;0;312.858
Standard Class;Home Office;United States;Chesapeake;Virginia;23320;South;Furniture;Chairs;1139.92;4;0;284.98
Second Class;Consumer;United States;Fayetteville;North Carolina;28314;South;Office Supplies;Paper;229.544;7;0.2;832.097
Standard Class;Consumer;United States;Huntsville;Texas;77340;Central;Office Supplies;Storage;143.728;2;0.2;-323.388
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Technology;Accessories;36.048;3;0.2;-0.9012
Standard Class;Corporate;United States;Woodstock;Illinois;60098;Central;Furniture;Chairs;845.488;8;0.3;-120.784
First Class;Consumer;United States;Everett;Massachusetts;2149;East;Office Supplies;Art;50.94;3;0;142.632
Standard Class;Home Office;United States;Chicago;Illinois;60653;Central;Office Supplies;Binders;762.594;3;0.8;-1.143.891
Standard Class;Corporate;United States;Roswell;Georgia;30076;South;Furniture;Furnishings;56.28;6;0;157.584
Standard Class;Corporate;United States;Roswell;Georgia;30076;South;Office Supplies;Binders;2690.97;3;0;12.647.559
Standard Class;Corporate;United States;Palm Coast;Florida;32137;South;Office Supplies;Binders;7.434;6;0.7;-56.994
First Class;Corporate;United States;Philadelphia;Pennsylvania;19120;East;Office Supplies;Storage;64.784;1;0.2;-129.568
Standard Class;Home Office;United States;Columbus;Indiana;47201;Central;Office Supplies;Paper;28.16;4;0;132.352
Second Class;Consumer;United States;Oceanside;New York;11572;East;Furniture;Furnishings;14.98;1;0;68.908
Second Class;Consumer;United States;Oceanside;New York;11572;East;Furniture;Furnishings;20.32;4;0;69.088
Same Day;Corporate;United States;Franklin;Massachusetts;2038;East;Office Supplies;Storage;40.29;3;0;104.754
Standard Class;Consumer;United States;Sioux Falls;South Dakota;57103;Central;Office Supplies;Labels;20.23;7;0;95.081
First Class;Corporate;United States;San Diego;California;92037;West;Furniture;Chairs;1.603.136;4;0.2;100.196
Second Class;Consumer;United States;Fayetteville;North Carolina;28314;South;Furniture;Chairs;225.296;2;0.2;225.296
Standard Class;Consumer;United States;Atlanta;Georgia;30318;South;Technology;Accessories;67.8;4;0;4.068
Standard Class;Consumer;United States;Atlanta;Georgia;30318;South;Technology;Phones;377.97;3;0;982.722
Standard Class;Consumer;United States;Atlanta;Georgia;30318;South;Furniture;Bookcases;1628.82;9;0;3.746.286
Standard Class;Consumer;United States;Atlanta;Georgia;30318;South;Office Supplies;Paper;286.93;7;0;1.405.957
Standard Class;Consumer;United States;Orlando;Florida;32839;South;Office Supplies;Paper;20.736;4;0.2;72.576
Same Day;Consumer;United States;San Francisco;California;94122;West;Office Supplies;Storage;31.44;3;0;84.888
Same Day;Consumer;United States;San Francisco;California;94122;West;Office Supplies;Appliances;83.79;7;0;226.233
Same Day;Consumer;United States;San Francisco;California;94122;West;Office Supplies;Art;59.52;3;0;154.752
Same Day;Consumer;United States;San Francisco;California;94122;West;Office Supplies;Supplies;31.92;4;0;92.568
Second Class;Consumer;United States;Toledo;Ohio;43615;East;Office Supplies;Supplies;14.72;5;0.2;-3.312
Second Class;Consumer;United States;Toledo;Ohio;43615;East;Office Supplies;Storage;38.976;3;0.2;-2.436
Standard Class;Consumer;United States;Saint Petersburg;Florida;33710;South;Furniture;Furnishings;17.088;2;0.2;1.068
Standard Class;Corporate;United States;Tucson;Arizona;85705;West;Office Supplies;Paper;74.352;3;0.2;23.235
Standard Class;Corporate;United States;Tucson;Arizona;85705;West;Furniture;Chairs;314.352;3;0.2;-353.646
Standard Class;Consumer;United States;Los Angeles;California;90036;West;Office Supplies;Art;4.26;1;0;17.466
Standard Class;Consumer;United States;San Diego;California;92105;West;Office Supplies;Storage;811.28;8;0;243.384
First Class;Consumer;United States;New York City;New York;10035;East;Office Supplies;Fasteners;6.03;3;0;29.547
Second Class;Consumer;United States;San Diego;California;92037;West;Furniture;Chairs;153.568;2;0.2;-57.588
Second Class;Consumer;United States;San Diego;California;92037;West;Furniture;Chairs;1.013.488;7;0.2;760.116
Standard Class;Home Office;United States;Westfield;New Jersey;7090;East;Office Supplies;Envelopes;52.34;2;0;245.998
Standard Class;Home Office;United States;Westfield;New Jersey;7090;East;Office Supplies;Art;4.66;2;0;13.514
Standard Class;Home Office;United States;Westfield;New Jersey;7090;East;Technology;Accessories;254.97;3;0;917.892
Second Class;Home Office;United States;Orange;New Jersey;7050;East;Office Supplies;Binders;25.44;6;0;12.72
Second Class;Home Office;United States;Orange;New Jersey;7050;East;Office Supplies;Supplies;27.93;3;0;80.997
Standard Class;Consumer;United States;Woodstock;Illinois;60098;Central;Office Supplies;Binders;8.85;5;0.8;-137.175
Second Class;Consumer;United States;San Francisco;California;94110;West;Furniture;Furnishings;6.96;4;0;22.272
Standard Class;Consumer;United States;San Francisco;California;94122;West;Office Supplies;Binders;17.456;2;0.2;58.914
Standard Class;Consumer;United States;Tempe;Arizona;85281;West;Furniture;Chairs;307.92;5;0.2;-34.641
First Class;Consumer;United States;Los Angeles;California;90008;West;Office Supplies;Art;6.63;3;0;17.901
First Class;Consumer;United States;Los Angeles;California;90008;West;Office Supplies;Paper;12.96;2;0;62.208
First Class;Consumer;United States;Los Angeles;California;90008;West;Office Supplies;Paper;32.4;5;0;15.552
Standard Class;Corporate;United States;Seattle;Washington;98105;West;Office Supplies;Paper;23.85;5;0;107.325
Second Class;Consumer;United States;Lake Charles;Louisiana;70601;South;Furniture;Chairs;51.96;2;0;12.99
Second Class;Consumer;United States;Lake Charles;Louisiana;70601;South;Office Supplies;Binders;17.94;3;0;86.112
Standard Class;Corporate;United States;Rochester;New York;14609;East;Office Supplies;Paper;11.56;2;0;56.644
Standard Class;Corporate;United States;Rochester;New York;14609;East;Office Supplies;Paper;26.4;5;0;11.88
Standard Class;Corporate;United States;Rochester;New York;14609;East;Furniture;Furnishings;69.08;11;0;290.136
Standard Class;Corporate;United States;Rochester;New York;14609;East;Technology;Phones;35.88;3;0;100.464
Standard Class;Consumer;United States;Long Beach;New York;11561;East;Office Supplies;Art;49.65;5;0;20.853
Standard Class;Corporate;United States;Charlotte;North Carolina;28205;South;Technology;Copiers;959.968;4;0.2;119.996
Standard Class;Consumer;United States;Houston;Texas;77036;Central;Furniture;Chairs;408.422;2;0.3;-58.346
Standard Class;Consumer;United States;New York City;New York;10035;East;Technology;Copiers;479.984;2;0.2;59.998
Standard Class;Consumer;United States;New York City;New York;10035;East;Office Supplies;Labels;12.6;4;0;6.048
Standard Class;Home Office;United States;Columbus;Georgia;31907;South;Office Supplies;Paper;184.66;7;0;849.436
Standard Class;Consumer;United States;Chicago;Illinois;60610;Central;Office Supplies;Paper;23.12;5;0.2;8.381
Standard Class;Corporate;United States;Highland Park;Illinois;60035;Central;Office Supplies;Paper;37.464;7;0.2;121.758
Standard Class;Corporate;United States;Highland Park;Illinois;60035;Central;Furniture;Chairs;539.658;3;0.3;-77.094
Standard Class;Home Office;United States;Seattle;Washington;98115;West;Office Supplies;Storage;310.12;2;0;806.312
Standard Class;Consumer;United States;Eagan;Minnesota;55122;Central;Office Supplies;Paper;8.56;2;0;3.852
Standard Class;Consumer;United States;Eagan;Minnesota;55122;Central;Office Supplies;Storage;52.4;5;0;14.148
Standard Class;Consumer;United States;Eagan;Minnesota;55122;Central;Office Supplies;Labels;14.94;3;0;68.724
Standard Class;Consumer;United States;Seattle;Washington;98103;West;Office Supplies;Fasteners;11.22;3;0;0.2244
Standard Class;Consumer;United States;Coral Springs;Florida;33065;South;Office Supplies;Appliances;387.136;4;0.2;24.196
Standard Class;Consumer;United States;Hempstead;New York;11550;East;Office Supplies;Envelopes;41.4;5;0;19.458
Standard Class;Consumer;United States;Hempstead;New York;11550;East;Office Supplies;Art;35;4;0;10.5
Standard Class;Consumer;United States;Hempstead;New York;11550;East;Office Supplies;Binders;39.552;3;0.2;143.376
Second Class;Consumer;United States;Noblesville;Indiana;46060;Central;Technology;Phones;135.72;3;0;352.872
Second Class;Consumer;United States;Noblesville;Indiana;46060;Central;Office Supplies;Binders;12.56;2;0;5.652
Second Class;Consumer;United States;Noblesville;Indiana;46060;Central;Technology;Phones;263.96;4;0;712.692
First Class;Consumer;United States;Dallas;Texas;75220;Central;Office Supplies;Art;5.952;1;0.2;0.372
Same Day;Corporate;United States;Philadelphia;Pennsylvania;19140;East;Office Supplies;Fasteners;15.8;5;0.2;2.37
Same Day;Corporate;United States;Philadelphia;Pennsylvania;19140;East;Furniture;Furnishings;14.368;2;0.2;39.512
Same Day;Corporate;United States;Philadelphia;Pennsylvania;19140;East;Furniture;Furnishings;70.448;7;0.2;123.284
Same Day;Consumer;United States;San Francisco;California;94109;West;Office Supplies;Storage;129.3;2;0;6.465
Second Class;Home Office;United States;Austin;Texas;78745;Central;Office Supplies;Binders;3.882;3;0.8;-5.823
Standard Class;Corporate;United States;Detroit;Michigan;48234;Central;Office Supplies;Fasteners;6.08;1;0;3.04
First Class;Consumer;United States;Watertown;New York;13601;East;Office Supplies;Appliances;19.9;1;0;8.955
First Class;Consumer;United States;Watertown;New York;13601;East;Furniture;Furnishings;70.71;1;0;49.497
Second Class;Consumer;United States;Columbus;Georgia;31907;South;Furniture;Furnishings;18.84;3;0;79.128
Standard Class;Consumer;United States;Apple Valley;Minnesota;55124;Central;Office Supplies;Art;8.64;3;0;25.056
Standard Class;Home Office;United States;Burlington;North Carolina;27217;South;Office Supplies;Binders;1.633.188;4;0.7;-13.065.504
Standard Class;Home Office;United States;Saginaw;Michigan;48601;Central;Furniture;Furnishings;19.76;4;0;82.992
Same Day;Consumer;United States;San Francisco;California;94109;West;Office Supplies;Binders;6.608;2;0.2;22.302
Same Day;Consumer;United States;San Francisco;California;94109;West;Office Supplies;Binders;7.28;2;0.2;2.73
Same Day;Consumer;United States;San Francisco;California;94109;West;Furniture;Chairs;144.784;1;0.2;108.588
Standard Class;Consumer;United States;Seattle;Washington;98105;West;Technology;Phones;156.792;1;0.2;137.193
Standard Class;Consumer;United States;Seattle;Washington;98105;West;Technology;Phones;431.976;3;0.2;269.985
Standard Class;Consumer;United States;Seattle;Washington;98105;West;Office Supplies;Envelopes;35.89;1;0;161.505
Standard Class;Consumer;United States;Seattle;Washington;98105;West;Office Supplies;Binders;47.208;7;0.2;153.426
Standard Class;Consumer;United States;Seattle;Washington;98105;West;Office Supplies;Paper;248.08;7;0;1.165.976
Standard Class;Consumer;United States;Seattle;Washington;98105;West;Office Supplies;Paper;189.7;5;0;89.159
Standard Class;Consumer;United States;Seattle;Washington;98105;West;Office Supplies;Binders;59.808;3;0.2;194.376
Standard Class;Corporate;United States;Milwaukee;Wisconsin;53209;Central;Furniture;Chairs;90.99;1;0;145.584
Standard Class;Corporate;United States;Milwaukee;Wisconsin;53209;Central;Furniture;Chairs;1526.56;7;0;4.274.368
Standard Class;Corporate;United States;Milwaukee;Wisconsin;53209;Central;Furniture;Chairs;368.97;3;0;405.867
Standard Class;Consumer;United States;Los Angeles;California;90049;West;Office Supplies;Storage;305.01;9;0;762.525
Standard Class;Consumer;United States;Los Angeles;California;90049;West;Furniture;Furnishings;18.7;1;0;7.106
First Class;Consumer;United States;San Francisco;California;94122;West;Furniture;Furnishings;38.29;7;0;164.647
Standard Class;Home Office;United States;San Diego;California;92024;West;Furniture;Furnishings;26.25;3;0;11.025
Standard Class;Home Office;United States;San Diego;California;92024;West;Office Supplies;Binders;64.96;14;0.2;22.736
Standard Class;Home Office;United States;San Diego;California;92024;West;Office Supplies;Envelopes;43.7;5;0;20.539
Same Day;Home Office;United States;Glendale;Arizona;85301;West;Technology;Accessories;41.6;4;0.2;13
Same Day;Home Office;United States;Glendale;Arizona;85301;West;Office Supplies;Paper;23.12;5;0.2;8.381
Same Day;Home Office;United States;Glendale;Arizona;85301;West;Furniture;Chairs;113.888;2;0.2;99.652
Same Day;Home Office;United States;Glendale;Arizona;85301;West;Furniture;Furnishings;113.568;2;0.2;-56.784
Same Day;Home Office;United States;Glendale;Arizona;85301;West;Technology;Phones;7.92;2;0.2;0.693
Same Day;Home Office;United States;Glendale;Arizona;85301;West;Technology;Phones;671.984;2;0.2;503.988
Standard Class;Corporate;United States;New York City;New York;10035;East;Technology;Phones;39.99;1;0;115.971
Standard Class;Home Office;United States;Watertown;New York;13601;East;Furniture;Chairs;191.646;3;0.1;31.941
Standard Class;Consumer;United States;Springfield;Ohio;45503;East;Office Supplies;Binders;2.313;1;0.7;-19.275
Standard Class;Consumer;United States;Los Angeles;California;90032;West;Office Supplies;Binders;19.936;4;0.2;72.268
Standard Class;Consumer;United States;Los Angeles;California;90032;West;Office Supplies;Fasteners;45.92;4;0;215.824
Standard Class;Home Office;United States;Seattle;Washington;98115;West;Office Supplies;Paper;20.34;3;0;93.564
Standard Class;Home Office;United States;Seattle;Washington;98115;West;Office Supplies;Labels;39.28;8;0;192.472
Second Class;Corporate;United States;Oceanside;California;92054;West;Furniture;Chairs;81.568;2;0.2;91.764
Second Class;Corporate;United States;Oceanside;California;92054;West;Furniture;Chairs;97.184;2;0.2;6.074
Second Class;Corporate;United States;Oceanside;California;92054;West;Office Supplies;Binders;24.32;5;0.2;8.208
Second Class;Corporate;United States;Oceanside;California;92054;West;Furniture;Furnishings;18.96;2;0;7.584
Standard Class;Consumer;United States;Skokie;Illinois;60076;Central;Furniture;Furnishings;32.952;6;0.6;-197.712
Standard Class;Consumer;United States;Skokie;Illinois;60076;Central;Office Supplies;Storage;30.016;4;0.2;30.016
Second Class;Consumer;United States;Fayetteville;North Carolina;28314;South;Office Supplies;Appliances;499.584;3;0.2;437.136
Second Class;Consumer;United States;Fayetteville;North Carolina;28314;South;Office Supplies;Paper;31.104;6;0.2;108.864
Second Class;Consumer;United States;Fayetteville;North Carolina;28314;South;Office Supplies;Binders;13.272;8;0.7;-106.176
Second Class;Consumer;United States;Fayetteville;North Carolina;28314;South;Furniture;Furnishings;28.272;2;0.2;63.612
Second Class;Consumer;United States;Fayetteville;North Carolina;28314;South;Office Supplies;Storage;259.136;4;0.2;-518.272
Standard Class;Consumer;United States;Tulsa;Oklahoma;74133;Central;Office Supplies;Binders;10.8;5;0;5.184
Standard Class;Consumer;United States;Allen;Texas;75002;Central;Furniture;Tables;244.006;2;0.3;-313.722
Standard Class;Consumer;United States;Allen;Texas;75002;Central;Office Supplies;Paper;15.936;4;0.2;53.784
Same Day;Corporate;United States;Philadelphia;Pennsylvania;19143;East;Furniture;Chairs;188.552;7;0.3;-26.936
Second Class;Consumer;United States;Rochester;New York;14609;East;Office Supplies;Storage;22.58;2;0;58.708
Second Class;Consumer;United States;Mount Pleasant;South Carolina;29464;South;Furniture;Chairs;545.94;6;0;873.504
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19134;East;Office Supplies;Paper;20.736;4;0.2;72.576
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19134;East;Furniture;Furnishings;43.296;2;0.2;43.296
Standard Class;Consumer;United States;Seattle;Washington;98115;West;Furniture;Chairs;123.136;4;0.2;138.528
Standard Class;Consumer;United States;Seattle;Washington;98115;West;Office Supplies;Binders;11.264;4;0.2;38.016
Second Class;Consumer;United States;Springfield;Oregon;97477;West;Office Supplies;Storage;53.424;3;0.2;46.746
Second Class;Consumer;United States;Springfield;Oregon;97477;West;Furniture;Tables;275.49;1;0.5;-1.708.038
Standard Class;Home Office;United States;Columbus;Georgia;31907;South;Furniture;Furnishings;24.96;4;0;6.24
Standard Class;Home Office;United States;Columbus;Georgia;31907;South;Office Supplies;Paper;19.36;2;0;92.928
Standard Class;Home Office;United States;Columbus;Georgia;31907;South;Office Supplies;Storage;1267.65;9;0;152.118
Second Class;Corporate;United States;Los Angeles;California;90032;West;Technology;Accessories;12.99;1;0;0.7794
Second Class;Corporate;United States;Los Angeles;California;90032;West;Office Supplies;Binders;18.56;4;0.2;6.496
Second Class;Corporate;United States;Los Angeles;California;90032;West;Office Supplies;Storage;449.15;5;0;8.983
Second Class;Corporate;United States;Los Angeles;California;90032;West;Office Supplies;Binders;31.248;7;0.2;109.368
Standard Class;Corporate;United States;New York City;New York;10024;East;Office Supplies;Appliances;61.44;3;0;165.888
Standard Class;Consumer;United States;Detroit;Michigan;48227;Central;Office Supplies;Binders;895.92;4;0;4.210.824
Second Class;Consumer;United States;Stockton;California;95207;West;Office Supplies;Binders;55.36;4;0.2;18.684
Standard Class;Consumer;United States;Phoenix;Arizona;85023;West;Office Supplies;Storage;55.92;5;0.2;6.291
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19120;East;Office Supplies;Envelopes;24.896;4;0.2;84.024
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19120;East;Furniture;Furnishings;3.984;1;0.2;0.6474
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19120;East;Technology;Accessories;95.968;4;0.2;287.904
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19120;East;Technology;Machines;206.991;3;0.7;-1.724.925
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19120;East;Office Supplies;Appliances;44.416;2;0.2;38.864
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19120;East;Office Supplies;Binders;9.006;2;0.7;-72.048
Standard Class;Home Office;United States;Sterling Heights;Michigan;48310;Central;Office Supplies;Binders;19;5;0;8.93
Standard Class;Home Office;United States;Rochester;New York;14609;East;Office Supplies;Binders;33.376;4;0.2;10.43
First Class;Home Office;United States;New York City;New York;10011;East;Office Supplies;Appliances;207.48;1;0;62.244
Standard Class;Home Office;United States;Eau Claire;Wisconsin;54703;Central;Office Supplies;Binders;91.68;3;0;45.84
First Class;Consumer;United States;New York City;New York;10009;East;Office Supplies;Appliances;904.9;5;0;253.372
Standard Class;Consumer;United States;Rancho Cucamonga;California;91730;West;Office Supplies;Binders;34.272;3;0.2;111.384
First Class;Consumer;United States;Murray;Kentucky;42071;South;Furniture;Furnishings;191.82;3;0;748.098
Standard Class;Corporate;United States;Toledo;Ohio;43615;East;Office Supplies;Appliances;243.88;5;0.2;274.365
Standard Class;Home Office;United States;Louisville;Colorado;80027;West;Office Supplies;Binders;12.03;5;0.7;-9.223
Standard Class;Home Office;United States;Louisville;Colorado;80027;West;Technology;Machines;2.549.985;5;0.7;-3399.98
Standard Class;Home Office;United States;Louisville;Colorado;80027;West;Office Supplies;Binders;21.594;2;0.7;-158.356
Standard Class;Home Office;United States;Louisville;Colorado;80027;West;Office Supplies;Binders;8.964;6;0.7;-65.736
Standard Class;Home Office;United States;Louisville;Colorado;80027;West;Office Supplies;Paper;20.736;4;0.2;72.576
Standard Class;Home Office;United States;New York City;New York;10035;East;Furniture;Tables;344.22;2;0.4;-103.266
Standard Class;Home Office;United States;Pharr;Texas;78577;Central;Office Supplies;Storage;727.296;8;0.2;-1.727.328
Standard Class;Home Office;United States;Pharr;Texas;78577;Central;Furniture;Furnishings;22.608;3;0.6;-101.736
Standard Class;Home Office;United States;Pharr;Texas;78577;Central;Technology;Accessories;666.4;7;0.2;-33.32
Standard Class;Consumer;United States;West Jordan;Utah;84084;West;Office Supplies;Fasteners;5.04;3;0;0.2016
Standard Class;Consumer;United States;West Jordan;Utah;84084;West;Office Supplies;Paper;92.94;3;0;41.823
Standard Class;Consumer;United States;West Jordan;Utah;84084;West;Furniture;Furnishings;66.69;3;0;220.077
Standard Class;Consumer;United States;West Jordan;Utah;84084;West;Office Supplies;Binders;91.68;5;0.2;28.65
Standard Class;Consumer;United States;Brownsville;Texas;78521;Central;Furniture;Bookcases;3.277.328;2;0.32;-144.588
Standard Class;Consumer;United States;New York City;New York;10011;East;Office Supplies;Binders;52.272;11;0.2;176.418
Standard Class;Consumer;United States;New York City;New York;10011;East;Office Supplies;Paper;17.94;3;0;8.073
Standard Class;Home Office;United States;Philadelphia;Pennsylvania;19140;East;Furniture;Furnishings;254.352;3;0.2;0
Same Day;Corporate;United States;Billings;Montana;59102;West;Office Supplies;Binders;8.288;2;0.2;26.936
Standard Class;Consumer;United States;Chesapeake;Virginia;23320;South;Furniture;Chairs;504.9;5;0;80.784
Standard Class;Corporate;United States;Gresham;Oregon;97030;West;Technology;Phones;403.168;4;0.2;25.198
Standard Class;Corporate;United States;Lincoln Park;Michigan;48146;Central;Furniture;Bookcases;194.32;4;0;310.912
Standard Class;Corporate;United States;Lincoln Park;Michigan;48146;Central;Office Supplies;Art;25.99;1;0;75.371
Standard Class;Consumer;United States;Gresham;Oregon;97030;West;Furniture;Chairs;195.136;4;0.2;-12.196
Standard Class;Home Office;United States;Philadelphia;Pennsylvania;19143;East;Office Supplies;Paper;20.736;4;0.2;72.576
Standard Class;Consumer;United States;Monroe;Louisiana;71203;South;Technology;Accessories;53.7;6;0;10.203
Standard Class;Consumer;United States;Monroe;Louisiana;71203;South;Office Supplies;Binders;36.26;7;0;166.796
Standard Class;Consumer;United States;Monroe;Louisiana;71203;South;Office Supplies;Art;56.3;2;0;15.764
Standard Class;Consumer;United States;Monroe;Louisiana;71203;South;Office Supplies;Paper;32.4;5;0;15.552
Standard Class;Consumer;United States;Monroe;Louisiana;71203;South;Furniture;Furnishings;29.16;2;0;107.892
Standard Class;Corporate;United States;Pasadena;California;91104;West;Furniture;Tables;171.288;3;0.2;-64.233
Standard Class;Consumer;United States;Chattanooga;Tennessee;37421;South;Furniture;Furnishings;16.72;5;0.2;3.344
Same Day;Home Office;United States;Long Beach;California;90805;West;Office Supplies;Paper;12.96;2;0;62.208
Same Day;Home Office;United States;Long Beach;California;90805;West;Office Supplies;Envelopes;22.18;2;0;108.682
Same Day;Home Office;United States;Long Beach;California;90805;West;Furniture;Chairs;2.054.272;8;0.2;256.784
Second Class;Consumer;United States;Troy;Ohio;45373;East;Technology;Phones;1022.97;5;0.4;-2.557.425
Second Class;Home Office;United States;Minneapolis;Minnesota;55407;Central;Office Supplies;Art;13.9;5;0;3.614
Second Class;Home Office;United States;Minneapolis;Minnesota;55407;Central;Office Supplies;Paper;26.38;1;0;121.348
Standard Class;Consumer;United States;Seattle;Washington;98105;West;Office Supplies;Binders;43.176;7;0.2;134.925
First Class;Home Office;United States;Columbus;Georgia;31907;South;Furniture;Tables;411.8;2;0;70.006
First Class;Home Office;United States;Columbus;Georgia;31907;South;Technology;Accessories;360;4;0;129.6
Standard Class;Home Office;United States;Meridian;Idaho;83642;West;Furniture;Furnishings;41.96;2;0;29.372
Standard Class;Home Office;United States;Meridian;Idaho;83642;West;Office Supplies;Appliances;227.84;4;0;660.736
Standard Class;Home Office;United States;Meridian;Idaho;83642;West;Office Supplies;Paper;37.94;2;0;182.112
Second Class;Home Office;United States;Detroit;Michigan;48227;Central;Technology;Phones;517.9;2;0;134.654
Second Class;Home Office;United States;Detroit;Michigan;48227;Central;Office Supplies;Binders;5.28;2;0;24.288
Standard Class;Corporate;United States;Chicago;Illinois;60623;Central;Technology;Copiers;2799.96;5;0.2;8.749.875
Second Class;Corporate;United States;San Francisco;California;94110;West;Office Supplies;Envelopes;8.96;2;0;43.008
Second Class;Corporate;United States;San Francisco;California;94110;West;Office Supplies;Labels;31.5;10;0;15.12
Second Class;Corporate;United States;San Francisco;California;94110;West;Furniture;Furnishings;30.56;2;0;103.904
Second Class;Corporate;United States;San Francisco;California;94110;West;Furniture;Tables;24.368;2;0.2;-33.506
Standard Class;Corporate;United States;Newark;Ohio;43055;East;Technology;Accessories;119.976;3;0.2;224.955
Standard Class;Consumer;United States;Dallas;Texas;75081;Central;Office Supplies;Paper;26.88;8;0.2;9.744
First Class;Corporate;United States;Newark;Delaware;19711;East;Technology;Phones;83.97;3;0;235.116
First Class;Corporate;United States;Newark;Delaware;19711;East;Technology;Accessories;104.97;3;0;73.479
Second Class;Home Office;United States;Albuquerque;New Mexico;87105;West;Office Supplies;Storage;90.8;8;0;25.424
Second Class;Home Office;United States;Albuquerque;New Mexico;87105;West;Technology;Phones;140.736;8;0.2;492.576
Second Class;Home Office;United States;Albuquerque;New Mexico;87105;West;Technology;Accessories;214.95;5;0;881.295
Second Class;Home Office;United States;Albuquerque;New Mexico;87105;West;Office Supplies;Paper;45.36;7;0;217.728
Second Class;Home Office;United States;Albuquerque;New Mexico;87105;West;Office Supplies;Paper;288.24;6;0;1.383.552
Same Day;Home Office;United States;Toledo;Ohio;43615;East;Office Supplies;Appliances;663.936;4;0.2;82.992
Standard Class;Corporate;United States;Newark;Delaware;19711;East;Office Supplies;Storage;2934.33;7;0;7.922.691
Standard Class;Corporate;United States;Newark;Delaware;19711;East;Furniture;Furnishings;124.41;3;0;149.292
